no,feature,date,attr,std
0,Effective Federal Funds Rate,2020-01-01,0.8036518552269136,0.07406755223968858
1,Effective Federal Funds Rate,2020-02-01,-0.5492573515940079,0.0816653048173718
2,Effective Federal Funds Rate,2020-03-01,-0.07758604973123223,0.08508447318027296
3,Effective Federal Funds Rate,2020-04-01,0.05536604353538751,0.0581168416724867
4,Effective Federal Funds Rate,2020-05-01,0.017235561398094987,0.059813359243497004
5,Effective Federal Funds Rate,2020-06-01,0.04653887940718638,0.05059279290751538
6,Effective Federal Funds Rate,2020-07-01,0.15320624407571978,0.029629745175509342
7,Effective Federal Funds Rate,2020-08-01,-0.05053823248268912,0.030345541860021943
8,Effective Federal Funds Rate,2020-09-01,0.28814147934103523,0.03848652956289461
9,Effective Federal Funds Rate,2020-10-01,0.376917710449035,0.03317277914812666
10,Effective Federal Funds Rate,2020-11-01,0.14629444600923977,0.021498042068992702
11,Effective Federal Funds Rate,2020-12-01,0.07593624246982825,0.02672043881735209
12,Effective Federal Funds Rate,2021-01-01,0.2491004292075862,0.07750224493224873
13,Effective Federal Funds Rate,2021-02-01,0.38457156157498384,0.0601497894446346
14,Effective Federal Funds Rate,2021-03-01,0.1336389607758052,0.04987031216434086
15,Effective Federal Funds Rate,2021-04-01,-0.16700030623154688,0.04366057283232107
16,Effective Federal Funds Rate,2021-05-01,0.4144826017241266,0.06104228074816954
17,Effective Federal Funds Rate,2021-06-01,-0.058172888459184335,0.015863556522888615
18,Effective Federal Funds Rate,2021-07-01,-0.11753279779612152,0.0005972522308200957
19,Effective Federal Funds Rate,2021-08-01,-0.0923935146741255,0.04117592345194421
20,Effective Federal Funds Rate,2021-09-01,-0.13238679339912574,0.011345596682895013
21,Effective Federal Funds Rate,2021-10-01,0.05211237116186124,0.06321555422980943
22,Effective Federal Funds Rate,2021-11-01,-0.25009536789351605,0.06331386007779827
23,Effective Federal Funds Rate,2021-12-01,-0.08863341646198747,0.06017490129924436
24,Effective Federal Funds Rate,2022-01-01,-0.20936893266402626,0.019338377428086473
25,Effective Federal Funds Rate,2022-02-01,-0.055567654093080406,0.010570970044316423
26,Effective Federal Funds Rate,2022-03-01,-0.1322957495388873,0.05150501240370842
27,Effective Federal Funds Rate,2022-04-01,-0.05567822865173639,0.00808449591395347
28,Effective Federal Funds Rate,2022-05-01,0.02963313010696195,0.011330228646793505
29,Effective Federal Funds Rate,2022-06-01,0.012138718041794994,0.0032411300167801663
30,3M T-Bill: Secondary Market,2020-01-01,0.4898855206438858,0.00973959613130901
31,3M T-Bill: Secondary Market,2020-02-01,-0.9261294225968245,0.014426499404189521
32,3M T-Bill: Secondary Market,2020-03-01,-0.011090268288956795,0.030040274323907743
33,3M T-Bill: Secondary Market,2020-04-01,0.05864651149760489,0.010453527612449656
34,3M T-Bill: Secondary Market,2020-05-01,0.050361370388854534,0.01757984637198632
35,3M T-Bill: Secondary Market,2020-06-01,0.02642491385915494,0.09935681258844622
36,3M T-Bill: Secondary Market,2020-07-01,0.19243506753501616,0.007033614828476072
37,3M T-Bill: Secondary Market,2020-08-01,-0.01970908240006824,0.05560874074995779
38,3M T-Bill: Secondary Market,2020-09-01,0.41800748599200366,0.08339139932980355
39,3M T-Bill: Secondary Market,2020-10-01,0.5353489429238366,0.007105827706934036
40,3M T-Bill: Secondary Market,2020-11-01,0.12147761904506625,0.00041258912191920877
41,3M T-Bill: Secondary Market,2020-12-01,0.08567901418395726,0.009580277098025915
42,3M T-Bill: Secondary Market,2021-01-01,0.32494598308243217,0.0995694031039857
43,3M T-Bill: Secondary Market,2021-02-01,0.45081843349100215,0.06396711921295539
44,3M T-Bill: Secondary Market,2021-03-01,0.19903062295489735,0.04884106666728281
45,3M T-Bill: Secondary Market,2021-04-01,-0.1948314242398735,0.03533698283724576
46,3M T-Bill: Secondary Market,2021-05-01,0.6329191331220559,0.021071802165401058
47,3M T-Bill: Secondary Market,2021-06-01,-0.10518923869352592,0.019533125435409027
48,3M T-Bill: Secondary Market,2021-07-01,-0.19014171544069172,0.05231780469766591
49,3M T-Bill: Secondary Market,2021-08-01,-0.1424296110755013,0.006468684883231913
50,3M T-Bill: Secondary Market,2021-09-01,-0.21377271832723177,0.00033673534920333927
51,3M T-Bill: Secondary Market,2021-10-01,0.03709327756388503,0.03774251668529424
52,3M T-Bill: Secondary Market,2021-11-01,-0.375970583703513,0.0498124257106427
53,3M T-Bill: Secondary Market,2021-12-01,-0.09121847581870843,0.05926801289165952
54,3M T-Bill: Secondary Market,2022-01-01,-0.31733893716194866,0.03469516556354647
55,3M T-Bill: Secondary Market,2022-02-01,-0.1293857136584184,0.026762036152655794
56,3M T-Bill: Secondary Market,2022-03-01,-0.07387590099681714,0.018488644383775014
57,3M T-Bill: Secondary Market,2022-04-01,-0.00194545783287232,0.015298053836559376
