no,feature,date,attr,std
0,Effective Federal Funds Rate,2020-01-01,0.9967852495818746,0.008463205361911157
1,Effective Federal Funds Rate,2020-02-01,-0.4466049686225634,0.03781895634694359
2,Effective Federal Funds Rate,2020-03-01,-0.1881840604025659,0.05919301184488831
3,Effective Federal Funds Rate,2020-04-01,0.05632757325201754,0.028778239031195522
4,Effective Federal Funds Rate,2020-05-01,0.04708128998535377,0.03012129230291791
5,Effective Federal Funds Rate,2020-06-01,0.05652093712451867,0.02853215322601929
6,Effective Federal Funds Rate,2020-07-01,0.06791940918211471,0.026784268141790715
7,Effective Federal Funds Rate,2020-08-01,-0.03328278245076804,0.02688818616859301
8,Effective Federal Funds Rate,2020-09-01,0.24872214967063486,0.02208060836878202
9,Effective Federal Funds Rate,2020-10-01,0.42254868278938806,0.01743610651832262
10,Effective Federal Funds Rate,2020-11-01,0.16607196563475324,0.010688189538496557
11,Effective Federal Funds Rate,2020-12-01,0.06055760012338154,0.023460290922635782
12,Effective Federal Funds Rate,2021-01-01,-0.06881803748864625,0.03922841176831124
13,Effective Federal Funds Rate,2021-02-01,0.44639239971475,0.03277611470141583
14,Effective Federal Funds Rate,2021-03-01,0.1158280219131165,0.028215727795644407
15,Effective Federal Funds Rate,2021-04-01,-0.16686518726170022,0.03289399098461749
16,Effective Federal Funds Rate,2021-05-01,0.3618698162075667,0.03346106988320177
17,Effective Federal Funds Rate,2021-06-01,0.03746871723440645,0.01791358821022151
18,Effective Federal Funds Rate,2021-07-01,-0.11575733284274098,0.0006827116014224827
19,Effective Federal Funds Rate,2021-08-01,-0.0951702019593373,0.027439602316713642
20,Effective Federal Funds Rate,2021-09-01,0.04783680330268857,0.011518694397606775
21,Effective Federal Funds Rate,2021-10-01,0.03431993679604409,0.0726126979956985
22,Effective Federal Funds Rate,2021-11-01,-0.23357868582930033,0.04493886447252221
23,Effective Federal Funds Rate,2021-12-01,-0.0795732937346564,0.01757137116522379
24,Effective Federal Funds Rate,2022-01-01,-0.20180993300163985,0.006398050779105378
25,Effective Federal Funds Rate,2022-02-01,-0.0010181282265892832,0.01376848017538558
26,Effective Federal Funds Rate,2022-03-01,0.043904630042394026,0.034537302360683954
27,Effective Federal Funds Rate,2022-04-01,0.06082642181307277,0.0056691510041397
28,Effective Federal Funds Rate,2022-05-01,-0.06229564586855841,0.016089340745227335
29,Effective Federal Funds Rate,2022-06-01,0.011426039219100605,0.003297008558740878
30,3M T-Bill: Secondary Market,2020-01-01,0.7606788933840447,0.007153660513339094
31,3M T-Bill: Secondary Market,2020-02-01,-0.40026765437151757,0.0064892606751114175
32,3M T-Bill: Secondary Market,2020-03-01,-0.00447965583596039,0.03867531344889322
33,3M T-Bill: Secondary Market,2020-04-01,0.05989476474153114,0.006089402891077102
34,3M T-Bill: Secondary Market,2020-05-01,0.06272590065882139,0.013135169282936386
35,3M T-Bill: Secondary Market,2020-06-01,0.04810808347830037,0.04558608931951339
36,3M T-Bill: Secondary Market,2020-07-01,0.14620738788347143,0.004717369688665365
37,3M T-Bill: Secondary Market,2020-08-01,0.013794291203785244,0.039748784722464306
38,3M T-Bill: Secondary Market,2020-09-01,0.33179099067573475,0.08923251930413328
39,3M T-Bill: Secondary Market,2020-10-01,0.6350786789140725,0.004466531259069444
40,3M T-Bill: Secondary Market,2020-11-01,0.1536311251607562,0.0004614276162392288
41,3M T-Bill: Secondary Market,2020-12-01,0.056661041932855004,0.007834541660625922
42,3M T-Bill: Secondary Market,2021-01-01,-0.1907904978201882,0.09098854889767934
43,3M T-Bill: Secondary Market,2021-02-01,0.5640382270010262,0.08097844281641643
44,3M T-Bill: Secondary Market,2021-03-01,0.13475124264408136,0.061073466665622925
45,3M T-Bill: Secondary Market,2021-04-01,-0.19322548066716744,0.021191253361211006
46,3M T-Bill: Secondary Market,2021-05-01,0.5674541145698597,0.016109521353516947
47,3M T-Bill: Secondary Market,2021-06-01,0.01974330112774915,0.010164863445994545
48,3M T-Bill: Secondary Market,2021-07-01,-0.18725229553026826,0.03761162574904804
49,3M T-Bill: Secondary Market,2021-08-01,-0.1461699423491205,0.004260778506229175
50,3M T-Bill: Secondary Market,2021-09-01,0.04502462870829439,0.0003989285308945458
51,3M T-Bill: Secondary Market,2021-10-01,0.006860616102724326,0.014702617552335618
52,3M T-Bill: Secondary Market,2021-11-01,-0.34496432555161655,0.030320990910701277
53,3M T-Bill: Secondary Market,2021-12-01,-0.06184119134981905,0.05436854653996058
54,3M T-Bill: Secondary Market,2022-01-01,-0.20645111403810526,0.025374718230926515
55,3M T-Bill: Secondary Market,2022-02-01,-0.04024516499727028,0.013803606171116608
56,3M T-Bill: Secondary Market,2022-03-01,0.0569602892533315,0.008923778170898511
57,3M T-Bill: Secondary Market,2022-04-01,0.0021708249740518878,0.009104439844012121
58,3M T-Bill: Secondary Market,2022-05-01,0.06650334576376896,0.00707852136341136
59,3M T-Bill: Secondary Market,2022-06-01,-0.0002621407582118449,0.0014550196179783344
60,6M T-Bill: Secondary Market,2020-01-01,0.12688601641155847,0.005262845395971553
61,6M T-Bill: Secondary Market,2020-02-01,-0.04701222070196091,0.018471534796270495
62,6M T-Bill: Secondary Market,2020-03-01,0.04998504148501325,0.03297000922682445
63,6M T-Bill: Secondary Market,2020-04-01,0.03964256615158359,0.07896282226013986
64,6M T-Bill: Secondary Market,2020-05-01,0.12119074025892482,0.015158382815755142
65,6M T-Bill: Secondary Market,2020-06-01,0.05353641612683332,0.02085149360320084
66,6M T-Bill: Secondary Market,2020-07-01,0.19176418384897548,0.03779867614696513
