no,feature,date,attr,std
0,Effective Federal Funds Rate,2020-01-01,-0.7843537114284913,0.0205538381139384
1,Effective Federal Funds Rate,2020-02-01,0.5081062545031049,0.01071113464769532
2,Effective Federal Funds Rate,2020-03-01,-0.24142311884544104,0.027377503102255823
3,Effective Federal Funds Rate,2020-04-01,-0.05189483629564725,0.022996760001206873
4,Effective Federal Funds Rate,2020-05-01,0.02378599539571166,0.021239323819245703
5,Effective Federal Funds Rate,2020-06-01,0.03843999505571819,0.022459173086222448
6,Effective Federal Funds Rate,2020-07-01,0.12556987821553348,0.019557894388740164
7,Effective Federal Funds Rate,2020-08-01,0.10693882708992355,0.020770031349889702
8,Effective Federal Funds Rate,2020-09-01,0.13678328186305688,0.018466190220711737
9,Effective Federal Funds Rate,2020-10-01,-0.14050020581607578,0.012065063072636634
10,Effective Federal Funds Rate,2020-11-01,0.17565258112870832,0.009610427015136026
11,Effective Federal Funds Rate,2020-12-01,-0.02807382213593041,0.011816938462967498
12,Effective Federal Funds Rate,2021-01-01,-0.02869108140931025,0.027079882551246322
13,Effective Federal Funds Rate,2021-02-01,-0.182409170117661,0.027526348813684206
14,Effective Federal Funds Rate,2021-03-01,0.11512192503140746,0.024369286814237726
15,Effective Federal Funds Rate,2021-04-01,0.1874376185552544,0.022805427720326926
16,Effective Federal Funds Rate,2021-05-01,0.30275506739853936,0.03469664998821016
17,Effective Federal Funds Rate,2021-06-01,-0.11125798860135916,0.00677338973685413
18,Effective Federal Funds Rate,2021-07-01,-0.11853475851587769,0.00018014861509961497
19,Effective Federal Funds Rate,2021-08-01,-0.09026536922318287,0.020588001751743825
20,Effective Federal Funds Rate,2021-09-01,-0.3180744175436149,0.0068139888108379116
21,Effective Federal Funds Rate,2021-10-01,-0.041072642638284446,0.01934430259327806
22,Effective Federal Funds Rate,2021-11-01,-0.23555731007844136,0.025980890593089192
23,Effective Federal Funds Rate,2021-12-01,-0.056506869293364306,0.006401668430418918
24,Effective Federal Funds Rate,2022-01-01,-0.20127641572307267,0.0037665972373069623
25,Effective Federal Funds Rate,2022-02-01,-0.1784507914603287,0.006925435001008645
